,key,scientificName,rank,taxonomicStatus,Belgium,Flanders,Brussels,Wallonia,first,last,source
1,5282427,Meesia longiseta Hedw.,SPECIES,ACCEPTED,1,1,0,0,1893,1893,https://www.botanicalcollections.be/specimen/BR5040104542735
2,8428680,Amblyodon dealbatus (Hedw.) P.Beauv.,SPECIES,ACCEPTED,1,1,0,0,2007,2007,"De Beer, D., & Van Landuyt, W. (2019). Aanvullingen en correcties bij de Vlaamse checklist mossen (hauwmossen, levermossen, bladmossen). Dumortiera, 115, 3–27. https://doi.org/10.5281/zenodo.3553636"
3,6096595,Fissidens gymnandrus Buse,SPECIES,ACCEPTED,1,1,0,0,2009,2017,https://doi.org/10.15468/385t22
4,9379800,Barbula sardoa (Bruch & Schimp.) J.-P.Frahm,SPECIES,SYNONYM,1,1,1,0,1998,2023,https://doi.org/10.15468/385t22
5,2669035,Sphagnum denticulatum Brid.,SPECIES,ACCEPTED,1,1,1,1,1871,2024,https://doi.org/10.15468/385t22
6,5282898,Leptodon smithii (Dicks. ex Hedw.) F.Weber & D.Mohr,SPECIES,ACCEPTED,1,1,0,0,2012,2012,"De Beer, D., & Van Landuyt, W. (2019). Aanvullingen en correcties bij de Vlaamse checklist mossen (hauwmossen, levermossen, bladmossen). Dumortiera, 115, 3–27. https://doi.org/10.5281/zenodo.3553636"
7,5282119,Dicranella howei Renauld & Cardot,SPECIES,ACCEPTED,1,1,1,0,1970,2024,https://doi.org/10.15468/385t22
8,5710777,Fissidens limbatus Sull.,SPECIES,SYNONYM,1,0,0,1,1990,2024,https://doi.org/10.15468/385t22
9,2671373,Tortella inclinata (R.Hedw.) Limpr.,SPECIES,ACCEPTED,1,1,0,1,1873,2025,"De Beer, D., & Van Landuyt, W. (2019). Aanvullingen en correcties bij de Vlaamse checklist mossen (hauwmossen, levermossen, bladmossen). Dumortiera, 115, 3–27. https://doi.org/10.5281/zenodo.3553636"
10,2672674,Orthotrichum acuminatum H.Philib.,SPECIES,HETEROTYPIC_SYNONYM,1,1,0,0,2013,2014,"De Beer, D., & Van Landuyt, W. (2019). Aanvullingen en correcties bij de Vlaamse checklist mossen (hauwmossen, levermossen, bladmossen). Dumortiera, 115, 3–27. https://doi.org/10.5281/zenodo.3553636"
11,7852051,Schistidium platyphyllum (Mitt.) Perss.,SPECIES,ACCEPTED,1,1,0,0,1999,2010,"De Beer, D., & Van Landuyt, W. (2019). Aanvullingen en correcties bij de Vlaamse checklist mossen (hauwmossen, levermossen, bladmossen). Dumortiera, 115, 3–27. https://doi.org/10.5281/zenodo.3553636"
12,5280981,Zygodon dentatus (Limpr.) Kartt.,SPECIES,SYNONYM,1,1,0,0,2009,2022,"De Beer, D., & Van Landuyt, W. (2019). Aanvullingen en correcties bij de Vlaamse checklist mossen (hauwmossen, levermossen, bladmossen). Dumortiera, 115, 3–27. https://doi.org/10.5281/zenodo.3553636"
13,7791481,Fossombronia caespitiformis (Raddi) De Not. ex Rabenh.,SPECIES,ACCEPTED,1,1,0,0,2012,2014,"De Beer, D., & Van Landuyt, W. (2019). Aanvullingen en correcties bij de Vlaamse checklist mossen (hauwmossen, levermossen, bladmossen). Dumortiera, 115, 3–27. https://doi.org/10.5281/zenodo.3553636"
14,7459598,Fissidens curnovii Mitt.,SPECIES,SYNONYM,1,1,1,1,1985,2024,http://www.botanicalcollections.be/specimen/BR5040328081270
15,6096601,Riccia crozalsii Levier,SPECIES,ACCEPTED,1,1,0,0,2016,2016,"De Beer, D., & Van Landuyt, W. (2019). Aanvullingen en correcties bij de Vlaamse checklist mossen (hauwmossen, levermossen, bladmossen). Dumortiera, 115, 3–27. https://doi.org/10.5281/zenodo.3553636"
16,5281711,Grimmia anodon Bruch & Schimp.,SPECIES,ACCEPTED,1,1,0,0,2008,2008,"De Beer, D., & Van Landuyt, W. (2019). Aanvullingen en correcties bij de Vlaamse checklist mossen (hauwmossen, levermossen, bladmossen). Dumortiera, 115, 3–27. https://doi.org/10.5281/zenodo.3553636"
17,4277590,Riccardia palmata (Hedw.) Carruth.,SPECIES,ACCEPTED,1,1,0,1,2009,2025,"De Beer, D., & Van Landuyt, W. (2019). Aanvullingen en correcties bij de Vlaamse checklist mossen (hauwmossen, levermossen, bladmossen). Dumortiera, 115, 3–27. https://doi.org/10.5281/zenodo.3553636"
18,5711074,Mnium rugicum Laurer,SPECIES,SYNONYM,1,1,0,0,1981,1981,http://www.botanicalcollections.be/specimen/BR5040329296789
19,7843169,Bryum erythrocarpum Schwägr. ex Schleich.,SPECIES,SYNONYM,1,1,0,0,1963,1980,https://doi.org/10.15468/385t22
20,8206974,Cephaloziella spinigera (Lindb.) Warnst.,SPECIES,ACCEPTED,1,1,0,0,2017,2019,"De Beer, D., & Van Landuyt, W. (2019). Aanvullingen en correcties bij de Vlaamse checklist mossen (hauwmossen, levermossen, bladmossen). Dumortiera, 115, 3–27. https://doi.org/10.5281/zenodo.3553636"
21,5282428,Meesia uliginosa Hedw.,SPECIES,ACCEPTED,1,1,0,0,1850,1850,https://www.botanicalcollections.be/specimen/BR5040122700926
